document_id,title,forename,surname,pubyear,gender,genre
50,"Diary of an Overland Journey from Bombay to England, and of a year's residence in Great Britain", Ardsher,Khurshed-ji,1840-01-01,m,travel
50,"Diary of an Overland Journey from Bombay to England, and of a year's residence in Great Britain", Ardsher,Khurshed-ji,1840-01-01,m,letters and diaries
51,Tours in Scotland 1677 & 1681, Ralph,Thoresby,1892-01-01,m,non-fiction
51,Tours in Scotland 1677 & 1681, Thomas,Kirk,1892-01-01,m,non-fiction
51,Tours in Scotland 1677 & 1681, Ralph,Thoresby,1892-01-01,m,travel
51,Tours in Scotland 1677 & 1681, Thomas,Kirk,1892-01-01,m,travel
52,Travels in Scotland: translated from the German, John (transl.),Kesson,1844-01-01,m,non-fiction
52,Travels in Scotland: translated from the German, Johann Georg,Kohl,1844-01-01,m,non-fiction
54,A second series of Curious storied traditions of Scottish life, Alexander,Leighton,1861-01-01,m,fiction
54,A second series of Curious storied traditions of Scottish life, Alexander,Leighton,1861-01-01,m,short stories
54,A second series of Curious storied traditions of Scottish life, Alexander,Leighton,1861-01-01,m,myths and legends
55,Mysterious legends of Edinburgh, Alexander,Leighton,1864-01-01,m,fiction
55,Mysterious legends of Edinburgh, Alexander,Leighton,1864-01-01,m,myths and legends
55,Mysterious legends of Edinburgh, Alexander,Leighton,1864-01-01,m,short stories
56,"New North Church, Edinburgh", Josiah,Livingston,1893-01-01,m,non-fiction
56,"New North Church, Edinburgh", Josiah,Livingston,1893-01-01,m,biography and autobiography
57,Our Street. Memories of Buccleuch Place, Josiah,Livingston,1893-01-01,m,non-fiction
57,Our Street. Memories of Buccleuch Place, Josiah,Livingston,1893-01-01,m,biography and autobiography
58,"Brought to Bay; or, Experiences of a City Detective", James,M'Govan,1878-01-01,m,fiction
58,"Brought to Bay; or, Experiences of a City Detective", James,M'Govan,1878-01-01,m,crime and mystery
59,"Solved Mysteries; or, Revelations of a City Detective", James,M'Govan,1888-01-01,m,fiction
59,"Solved Mysteries; or, Revelations of a City Detective", James,M'Govan,1888-01-01,m,crime and mystery
60,"Traced and tracked; or, Memoirs of a City Detective", James,M'Govan,1884-01-01,m,fiction
60,"Traced and tracked; or, Memoirs of a City Detective", James,M'Govan,1884-01-01,m,crime and mystery
61,Journal of a residence in Scotland, Isaac,McLellan,1834-01-01,m,non-fiction
61,Journal of a residence in Scotland, Henry Blake,McLellan,1834-01-01,m,non-fiction
61,Journal of a residence in Scotland, Isaac,McLellan,1834-01-01,m,travel
61,Journal of a residence in Scotland, Henry Blake,McLellan,1834-01-01,m,travel
61,Journal of a residence in Scotland, Isaac,McLellan,1834-01-01,m,letters and diaries
61,Journal of a residence in Scotland, Henry Blake,McLellan,1834-01-01,m,letters and diaries
62,Ruth Farmer, Agnes,Marchbank,1896-01-01,f,romance
62,Ruth Farmer, Agnes,Marchbank,1896-01-01,f,crime and mystery
63,"Queen's Maries. A romance of Holyrood, vol. 2", George John Whyte,Melville,1862-01-01,m,fiction
63,"Queen's Maries. A romance of Holyrood, vol. 2", George John Whyte,Melville,1862-01-01,m,romance
63,"Queen's Maries. A romance of Holyrood, vol. 2", George John Whyte,Melville,1862-01-01,m,historical fiction
64,The Provost-Marshal: a romance of the middle shires, Frederick Charles,Moncreiff,1896-01-01,m,fiction
64,The Provost-Marshal: a romance of the middle shires, Frederick Charles,Moncreiff,1896-01-01,m,historical fiction
64,The Provost-Marshal: a romance of the middle shires, Frederick Charles,Moncreiff,1896-01-01,m,romance
65,Over-Sea, Henry,Morford,1867-01-01,m,non-fiction
66,Rambles in Europe, Leonard Allison,Morrison,1887-01-01,m,non-fiction
66,Rambles in Europe, Daniel,Miller,1887-01-01,m,non-fiction
66,Rambles in Europe, Leonard Allison,Morrison,1887-01-01,m,history
66,Rambles in Europe, Daniel,Miller,1887-01-01,m,history
66,Rambles in Europe, Leonard Allison,Morrison,1887-01-01,m,travel
66,Rambles in Europe, Daniel,Miller,1887-01-01,m,travel
67,Out of her shroud, Henry,Ochiltree,1897-01-01,m,fiction
67,Out of her shroud, Henry,Ochiltree,1897-01-01,m,adventure
67,Out of her shroud, Henry,Ochiltree,1897-01-01,m,crime and mystery
68,Story of Maurice Lestrange, George William Thomson,Omond,1896-01-01,m,fiction
68,Story of Maurice Lestrange, George William Thomson,Omond,1896-01-01,m,travel
69,Fraud and Friendship, David,Pae,1857-01-01,m,fiction
69,Fraud and Friendship, David,Pae,1857-01-01,m,adventure
69,Fraud and Friendship, David,Pae,1857-01-01,m,crime and mystery
70,The White House at Inch Gow, Sarah,Pitt,1891-01-01,f,fiction
70,The White House at Inch Gow, Sarah,Pitt,1891-01-01,f,romance
71,"Andrew Ramsay of Errol, vol. 1", Margaret,Oliphant,1865-01-01,f,fiction
71,"Andrew Ramsay of Errol, vol. 1", Margaret,Oliphant,1865-01-01,f,adventure
72,"Aground in the Shallows, vol. 1", Catherine,Ray,1879-01-01,f,fiction
72,"Aground in the Shallows, vol. 1", Catherine,Ray,1879-01-01,f,adventure
73,Christie Johnstone: a novel, Charles,Reade,1853-01-01,m,fiction
73,Christie Johnstone: a novel, Charles,Reade,1853-01-01,m,romance
73,Christie Johnstone: a novel, Charles,Reade,1853-01-01,m,adventure
74,Art Rambles in the Highlands and Islands of Scotland, John Thomas,Reid,1878-01-01,m,non-fiction
74,Art Rambles in the Highlands and Islands of Scotland, John Thomas,Reid,1878-01-01,m,travel
75,Journal of a Summer Tour in the Perthshire and Inverness-shire Highlands, James Cruickshank,Roger,1898-01-01,m,non-fiction
75,Journal of a Summer Tour in the Perthshire and Inverness-shire Highlands, James Cruickshank,Roger,1898-01-01,m,letters and diaries
75,Journal of a Summer Tour in the Perthshire and Inverness-shire Highlands, James Cruickshank,Roger,1898-01-01,m,travel
76,Reminiscences of Yarrow, Campbell (preface),Fraser,1886-01-01,u,non-fiction
76,Reminiscences of Yarrow, James,Russell,1886-01-01,m,non-fiction
76,Reminiscences of Yarrow, Campbell (preface),Fraser,1886-01-01,u,essays and journals
76,Reminiscences of Yarrow, James,Russell,1886-01-01,m,essays and journals
76,Reminiscences of Yarrow, Campbell (preface),Fraser,1886-01-01,u,biography and autobiography
76,Reminiscences of Yarrow, James,Russell,1886-01-01,m,biography and autobiography
82,"Tales of a Grandfather, series 1-3", Walter,Scott,1865-01-01,m,fiction
82,"Tales of a Grandfather, series 1-3", Walter,Scott,1865-01-01,m,historical fiction
83,"Bonnie Hills o'Hame, and other gems", William,Scott,01/01/1926,m,fiction
83,"Bonnie Hills o'Hame, and other gems", William,Scott,01/01/1926,m,anthology
84,Robert Urquhart, Gabriel,Setoun,1896-01-01,m,fiction
84,Robert Urquhart, Gabriel,Setoun,1896-01-01,m,romance
85,"Haco the dreamer, vol. 1", William,Sime,1884-01-01,m,fiction
85,"Haco the dreamer, vol. 1", William,Sime,1884-01-01,m,humour and satire
85,"Haco the dreamer, vol. 1", William,Sime,1884-01-01,m,adventure
86,"Haco the dreamer, vol. 2", William,Sime,1884-01-01,m,fiction
86,"Haco the dreamer, vol. 2", William,Sime,1884-01-01,m,humour and satire
86,"Haco the dreamer, vol. 2", William,Sime,1884-01-01,m,adventure
87,By adverse winds, William Henry Oliphant,Smeaton,1895-01-01,m,fiction
87,By adverse winds, William Henry Oliphant,Smeaton,1895-01-01,m,romance
87,By adverse winds, William Henry Oliphant,Smeaton,1895-01-01,m,adventure
88,Our laddie, William Henry Oliphant,Smeaton,1897-01-01,m,fiction
88,Our laddie, William Henry Oliphant,Smeaton,1897-01-01,m,historical fiction
88,Our laddie, William Henry Oliphant,Smeaton,1897-01-01,m,adventure
89,A summer in Skye, Alexander,Smith,1865-01-01,m,history
89,A summer in Skye, Alexander,Smith,1865-01-01,m,myths and legends
89,A summer in Skye, Alexander,Smith,1865-01-01,m,travel
90,Cruciform Mark, Riccardo,Stephens,1896-01-01,m,fiction
90,Cruciform Mark, Riccardo,Stephens,1896-01-01,m,horror and ghost stories
90,Cruciform Mark, Riccardo,Stephens,1896-01-01,m,crime and mystery
95,Weir of Hermiston, Robert Louis,Stevenson,1896-01-01,m,fiction
95,Weir of Hermiston, Robert Louis,Stevenson,1896-01-01,m,romance
95,Weir of Hermiston, Robert Louis,Stevenson,1896-01-01,m,historical fiction
97,Rambles in the old world, Milton Spenser,Terry,1894-01-01,m,non-fiction
97,Rambles in the old world, Milton Spenser,Terry,1894-01-01,m,travel
98,Scotland Picturesque and Traditional, George Eyre,Todd,1895-01-01,m,non-fiction
98,Scotland Picturesque and Traditional, George Eyre,Todd,1895-01-01,m,travel
99,"Scotland, its faith and its features", Francis,Trench,1846-01-01,m,non-fiction
99,"Scotland, its faith and its features", Francis,Trench,1846-01-01,m,travel
100,The Diamond Rose, Sarah,Tytler,1867-01-01,f,fiction
100,The Diamond Rose, Sarah,Tytler,1867-01-01,f,romance
101,Lady Jean's Son. A novel, Sarah,Tytler,1897-01-01,f,fiction
101,Lady Jean's Son. A novel, Sarah,Tytler,1897-01-01,f,historical fiction
101,Lady Jean's Son. A novel, Sarah,Tytler,1897-01-01,f,adventure
102,A question of penmanship, Lucy Bethia,Walford,1893-01-01,f,fiction
102,A question of penmanship, Lucy Bethia,Walford,1893-01-01,f,short stories
103,"His Dearest Wish, vol. 2", Mary Clementina Hibbert,Ware,1883-01-01,f,fiction
103,"His Dearest Wish, vol. 2", Mary Clementina Hibbert,Ware,1883-01-01,f,romance
104,A Journal of a Residence during Several Months in London, Nathaniel Sheldon,Wheaton,1830-01-01,m,non-fiction
104,A Journal of a Residence during Several Months in London, Nathaniel Sheldon,Wheaton,1830-01-01,m,travel
106,Memorials of Edinburgh in olden times, Daniel,Wilson,1848-01-01,m,non-fiction
106,Memorials of Edinburgh in olden times, Daniel,Wilson,1848-01-01,m,essays and journals
106,Memorials of Edinburgh in olden times, Daniel,Wilson,1848-01-01,m,history
107,The children's fairy geography, Forbes Edward,Winslow,1880-01-01,m,fiction
107,The children's fairy geography, Forbes Edward,Winslow,1880-01-01,m,travel
107,The children's fairy geography, Forbes Edward,Winslow,1880-01-01,m,children's fiction
108,Gray Days and Gold, William,Winter,1891-01-01,m,non-fiction
108,Gray Days and Gold, William,Winter,1891-01-01,m,travel
109,"Lucy, Francis and Cousin Bill, vol. 1", Aden,Wistan,1892-01-01,m,fiction
109,"Lucy, Francis and Cousin Bill, vol. 1", Aden,Wistan,1892-01-01,m,romance
110,"Lucy, Francis and Cousin Bill, vol. 2", Aden,Wistan,1892-01-01,m,fiction
110,"Lucy, Francis and Cousin Bill, vol. 2", Aden,Wistan,1892-01-01,m,romance
111,"Lucy, Francis and Cousin Bill, vol. 3", Aden,Wistan,1892-01-01,m,fiction
111,"Lucy, Francis and Cousin Bill, vol. 3", Aden,Wistan,1892-01-01,m,romance
113,A Summer in Scotland, Jacob,Abbott,1848-01-01,m,non-fiction
113,A Summer in Scotland, Jacob,Abbott,1848-01-01,m,travel
114,Greyfriars Bobby, Eleanor,Atkinson,01/01/1912,f,fiction
114,Greyfriars Bobby, Eleanor,Atkinson,01/01/1912,f,children's fiction
115,"The historical works of Sir James Balfour, vol. 2", James,Balfour,1824-01-01,m,non-fiction
115,"The historical works of Sir James Balfour, vol. 2", James,Balfour,1824-01-01,m,history
116,To arms!, Andrew,Balfour,1898-01-01,m,fiction
116,To arms!, Andrew,Balfour,1898-01-01,m,adventure
117,Forty years on the stage, John Henry,Barnes,01/01/1914,m,non-fiction
117,Forty years on the stage, John Henry,Barnes,01/01/1914,m,biography and autobiography
118,The lone house, Amelia Edith Huddleston,Barr,1893-01-01,f,fiction
118,The lone house, Amelia Edith Huddleston,Barr,1893-01-01,f,historical fiction
119,Winter evening tales, Amelia Edith Huddleston,Barr,1896-01-01,f,fiction
119,Winter evening tales, Amelia Edith Huddleston,Barr,1896-01-01,f,short stories
119,Winter evening tales, Amelia Edith Huddleston,Barr,1896-01-01,f,romance
120,An Edinburgh eleven, James Matthew,Barrie,1889-01-01,m,fiction
120,An Edinburgh eleven, James Matthew,Barrie,1889-01-01,m,short stories
120,An Edinburgh eleven, James Matthew,Barrie,1889-01-01,m,essays and journals
122,The little minister, James Matthew,Barrie,1891-01-01,m,fiction
122,The little minister, James Matthew,Barrie,1891-01-01,m,romance
122,The little minister, James Matthew,Barrie,1891-01-01,m,adventure
123,Auld licht idylls, James Matthew,Barrie,1888-01-01,m,fiction
123,Auld licht idylls, James Matthew,Barrie,1888-01-01,m,short stories
124,Notes of foreign travel, James Hale,Bates,1891-01-01,m,non-fiction
124,Notes of foreign travel, James Hale,Bates,1891-01-01,m,travel
125,Beatty's tour in Europe, Daniel F.,Beatty,1880-01-01,m,non-fiction
125,Beatty's tour in Europe, Daniel F.,Beatty,1880-01-01,m,travel
126,What the Duchess and I saw in Europe, Lou J.,Beauchamp,1896-01-01,m,non-fiction
126,What the Duchess and I saw in Europe, Lou J.,Beauchamp,1896-01-01,m,travel
126,What the Duchess and I saw in Europe, Lou J.,Beauchamp,1896-01-01,m,history
128,Forging his chains, George,Bidwell,1888-01-01,m,non-fiction
128,Forging his chains, George,Bidwell,1888-01-01,m,biography and autobiography
128,Forging his chains, George,Bidwell,1888-01-01,m,crime and mystery
129,Broken stowage, David William,Bone,01/01/1922,m,fiction
129,Broken stowage, David William,Bone,01/01/1922,m,adventure
130,"The life of Samuel Johnson, LL.D.", John,Boswell,1791-01-01,m,non-fiction
130,"The life of Samuel Johnson, LL.D.", John,Boswell,1791-01-01,m,biography and autobiography
130,"The life of Samuel Johnson, LL.D.", John,Boswell,1791-01-01,m,letters and diaries
131,"The journal of a tour to the Hebrides, with Samuel Johnson, LL.D.", John,Boswell,1786-01-01,m,non-fiction
131,"The journal of a tour to the Hebrides, with Samuel Johnson, LL.D.", John,Boswell,1786-01-01,m,travel
131,"The journal of a tour to the Hebrides, with Samuel Johnson, LL.D.", John,Boswell,1786-01-01,m,letters and diaries
132,Journal of a tour through the Highlands of Scotland, Beriah,Botfield,1830-01-01,m,non-fiction
132,Journal of a tour through the Highlands of Scotland, Beriah,Botfield,1830-01-01,m,travel
133,St Andrews and elsewhere, Andrew Kennedy Hutchison,Boyd,1894-01-01,m,non-fiction
133,St Andrews and elsewhere, Andrew Kennedy Hutchison,Boyd,1894-01-01,m,travel
133,St Andrews and elsewhere, Andrew Kennedy Hutchison,Boyd,1894-01-01,m,biography and autobiography
134,"The world's best essays, from the earliest period to the present time, vol. 2", David Josiah,Brewer,01/01/1900,m,non-fiction
134,"The world's best essays, from the earliest period to the present time, vol. 2", David Josiah,Brewer,01/01/1900,m,essays and journals
135,Murmurings from rugged waters, James Polwarth,Broomfield,01/01/1901,m,fiction
135,Murmurings from rugged waters, James Polwarth,Broomfield,01/01/1901,m,short stories
135,Murmurings from rugged waters, James Polwarth,Broomfield,01/01/1901,m,myths and legends
136,Spare Hours, John,Brown,1862-01-01,m,fiction
136,Spare Hours, John,Brown,1862-01-01,m,short stories
137,"Spare Hours, second series", John,Brown,1866-01-01,m,fiction
137,"Spare Hours, second series", John,Brown,1866-01-01,m,short stories
138,"London, or, A month at Steven's, vol. 1", Thomas,Brown,1819-01-01,m,fiction
138,"London, or, A month at Steven's, vol. 1", Thomas,Brown,1819-01-01,m,sagas
138,"London, or, A month at Steven's, vol. 1", Thomas,Brown,1819-01-01,m,humour and satire
139,Rab and his friends, John,Brown,1859-01-01,m,fiction
139,Rab and his friends, John,Brown,1859-01-01,m,historical fiction
140,The house with the green shutters, George Douglas,Brown,01/01/1901,m,fiction
140,The house with the green shutters, George Douglas,Brown,01/01/1901,m,historical fiction
141,Sights and sensations in Europe, Junius Henri,Browne,1871-01-01,m,non-fiction
141,Sights and sensations in Europe, Junius Henri,Browne,1871-01-01,m,travel
143,Two months in Europe, Oscar Roger,Burchard,1879-01-01,m,non-fiction
143,Two months in Europe, Oscar Roger,Burchard,1879-01-01,m,travel
144,Sylvander and Clarinda, Agnes,M'Lehose,01/01/1917,f,fiction
144,Sylvander and Clarinda, Robert,Burns,01/01/1917,m,fiction
144,Sylvander and Clarinda, Agnes,M'Lehose,01/01/1917,f,romance
144,Sylvander and Clarinda, Robert,Burns,01/01/1917,m,romance
144,Sylvander and Clarinda, Agnes,M'Lehose,01/01/1917,f,letters and diaries
144,Sylvander and Clarinda, Robert,Burns,01/01/1917,m,letters and diaries
145,Complete poetical and prose works of Robert Burns, Robert,Burns,1858-01-01,m,non-fiction
145,Complete poetical and prose works of Robert Burns, Robert,Burns,1858-01-01,m,letters and diaries
145,Complete poetical and prose works of Robert Burns, Robert,Burns,1858-01-01,m,travel
146,"Narratives from Criminal Trials in Scotland, vol. 2", John Hill,Burton,1852-01-01,m,fiction
146,"Narratives from Criminal Trials in Scotland, vol. 2", John Hill,Burton,1852-01-01,m,short stories
146,"Narratives from Criminal Trials in Scotland, vol. 2", John Hill,Burton,1852-01-01,m,crime and mystery
147,A Bachelor's Rambles through the British Isles, Charles J.,Butler,1895-01-01,m,non-fiction
147,A Bachelor's Rambles through the British Isles, Charles J.,Butler,1895-01-01,m,travel
147,A Bachelor's Rambles through the British Isles, Charles J.,Butler,1895-01-01,m,biography and autobiography
148,"A Journey from Edinburgh through Parts of North Britain, vol. 1", Alexander,Campbell,1802-01-01,m,non-fiction
148,"A Journey from Edinburgh through Parts of North Britain, vol. 1", Alexander,Campbell,1802-01-01,m,travel
148,"A Journey from Edinburgh through Parts of North Britain, vol. 1", Alexander,Campbell,1802-01-01,m,essays and journals
149,Letters and memorials of Jane Welsh Carlyle, James Anthony,Froude,1883-01-01,m,non-fiction
149,Letters and memorials of Jane Welsh Carlyle, Jane Welsh,Carlyle,1883-01-01,f,non-fiction
149,Letters and memorials of Jane Welsh Carlyle, James Anthony,Froude,1883-01-01,m,letters and diaries
